ALDER;KØN;TID;INDHOLD
2;M;2058;38522
2;M;2059;38806
2;M;2060;39040
2;K;2019;30457
2;K;2020;30484
2;K;2021;31745
2;K;2022;32253
2;K;2023;32757
2;K;2024;33285
2;K;2025;33863
2;K;2026;34478
2;K;2027;35022
2;K;2028;35396
2;K;2029;35597
2;K;2030;35677
2;K;2031;35675
2;K;2032;35621
2;K;2033;35534
2;K;2034;35422
2;K;2035;35296
2;K;2036;35159
2;K;2037;35009
2;K;2038;34843
2;K;2039;34656
2;K;2040;34450
2;K;2041;34226
2;K;2042;33995
2;K;2043;33772
2;K;2044;33575
2;K;2045;33426
2;K;2046;33340
2;K;2047;33327
2;K;2048;33394
2;K;2049;33539
2;K;2050;33757
2;K;2051;34038
2;K;2052;34369
2;K;2053;34736
2;K;2054;35124
2;K;2055;35514
2;K;2056;35890
2;K;2057;36243
2;K;2058;36556
2;K;2059;36826
2;K;2060;37047
3;M;2019;30685
3;M;2020;32560
3;M;2021;32115
3;M;2022;33507
3;M;2023;34035
3;M;2024;34561
3;M;2025;35114
3;M;2026;35722
3;M;2027;36366
3;M;2028;36938
3;M;2029;37330
3;M;2030;37541
3;M;2031;37626
3;M;2032;37625
3;M;2033;37571
3;M;2034;37477
3;M;2035;37360
3;M;2036;37230
3;M;2037;37086
3;M;2038;36928
3;M;2039;36752
3;M;2040;36556
3;M;2041;36339
3;M;2042;36102
3;M;2043;35859
3;M;2044;35624
3;M;2045;35417
3;M;2046;35259
3;M;2047;35168
3;M;2048;35155
3;M;2049;35225
3;M;2050;35377
3;M;2051;35607
3;M;2052;35903
3;M;2053;36253
3;M;2054;36641
3;M;2055;37048
3;M;2056;37460
3;M;2057;37857
3;M;2058;38228
3;M;2059;38558
3;M;2060;38844
3;K;2019;29169
3;K;2020;30601
3;K;2021;30597
3;K;2022;31835
3;K;2023;32334
3;K;2024;32829
3;K;2025;33354
3;K;2026;33930
3;K;2027;34541
3;K;2028;35082
3;K;2029;35453
3;K;2030;35655
3;K;2031;35734
3;K;2032;35733
3;K;2033;35680
3;K;2034;35590
3;K;2035;35480
3;K;2036;35355
3;K;2037;35219
3;K;2038;35068
3;K;2039;34901
3;K;2040;34714
3;K;2041;34508
3;K;2042;34284
3;K;2043;34053
3;K;2044;33829
3;K;2045;33632
3;K;2046;33482
3;K;2047;33396
3;K;2048;33382
3;K;2049;33449
3;K;2050;33594
3;K;2051;33811
3;K;2052;34093
3;K;2053;34424
3;K;2054;34792
3;K;2055;35178
3;K;2056;35568
3;K;2057;35946
3;K;2058;36296
3;K;2059;36610
3;K;2060;36880
4;M;2019;30351
4;M;2020;30782
4;M;2021;32630
4;M;2022;32166
4;M;2023;33546
4;M;2024;34067
4;M;2025;34589
4;M;2026;35138
4;M;2027;35745
4;M;2028;36386
4;M;2029;36955
4;M;2030;37345
4;M;2031;37557
4;M;2032;37641
4;M;2033;37642
4;M;2034;37587
4;M;2035;37493
4;M;2036;37378
4;M;2037;37248
4;M;2038;37104
4;M;2039;36946
4;M;2040;36771
4;M;2041;36575
4;M;2042;36357
4;M;2043;36122
4;M;2044;35878
4;M;2045;35642
4;M;2046;35435
4;M;2047;35276
4;M;2048;35185
4;M;2049;35171
4;M;2050;35241
4;M;2051;35393
4;M;2052;35623
4;M;2053;35919
4;M;2054;36269
4;M;2055;36656
4;M;2056;37064
4;M;2057;37475
4;M;2058;37872
4;M;2059;38242
4;M;2060;38574
4;K;2019;28728
4;K;2020;29276
4;K;2021;30687
4;K;2022;30661
4;K;2023;31884
4;K;2024;32375
4;K;2025;32867
4;K;2026;33388
4;K;2027;33960
4;K;2028;34570
4;K;2029;35108
4;K;2030;35478
4;K;2031;35679
4;K;2032;35760
4;K;2033;35760
4;K;2034;35707
4;K;2035;35619
4;K;2036;35508
4;K;2037;35383
4;K;2038;35247
4;K;2039;35097
4;K;2040;34930
4;K;2041;34744
4;K;2042;34536
4;K;2043;34313
4;K;2044;34081
4;K;2045;33858
4;K;2046;33661
4;K;2047;33510
4;K;2048;33422
4;K;2049;33410
4;K;2050;33476
4;K;2051;33621
4;K;2052;33838
4;K;2053;34119
4;K;2054;34451
4;K;2055;34818
4;K;2056;35205
4;K;2057;35595
4;K;2058;35971
4;K;2059;36323
4;K;2060;36637
5;M;2019;29898
5;M;2020;30467
5;M;2021;30877
5;M;2022;32708
5;M;2023;32227
5;M;2024;33602
5;M;2025;34121
5;M;2026;34640
5;M;2027;35190
5;M;2028;35794
5;M;2029;36434
5;M;2030;37002
5;M;2031;37392
5;M;2032;37604
5;M;2033;37689
5;M;2034;37690
5;M;2035;37634
5;M;2036;37543
5;M;2037;37426
5;M;2038;37295
5;M;2039;37152
5;M;2040;36995
5;M;2041;36818
5;M;2042;36622
5;M;2043;36405
5;M;2044;36169
5;M;2045;35925
5;M;2046;35689
5;M;2047;35481
5;M;2048;35322
5;M;2049;35231
5;M;2050;35217
5;M;2051;35287
5;M;2052;35438
5;M;2053;35668
5;M;2054;35964
5;M;2055;36314
5;M;2056;36702
5;M;2057;37109
